3 3	We had to drive away our car immediately .	B-SPATIAL_ENTITY O O B-MOTION B-MOTION_SIGNAL B-MOTION_SIGNAL I-MOTION_SIGNAL O O	B-mover O O B-trigger O O O O O
16 16	I tried to convince them to ride to Argentina with me , but they decided to stop only a few miles down the road , where we camped , built a fire , and taught me Mexican slang .	B-SPATIAL_ENTITY O O O B-SPATIAL_ENTITY O B-MOTION B-MOTION_SIGNAL B-PLACE O B-SPATIAL_ENTITY O O B-SPATIAL_ENTITY O O B-MOTION O B-MEASURE I-MEASURE I-MEASURE B-SPATIAL_SIGNAL O B-PATH O B-SPATIAL_SIGNAL B-SPATIAL_ENTITY B-NONMOTION_EVENT O B-NONMOTION_EVENT O O O O B-NONMOTION_EVENT O O O O	O O O O O O O O O O O O O B-mover O O B-trigger O O O O O O O O O O O O O O O O O O O O O O
8 8	We parked the car in a small field where we could turn .	B-SPATIAL_ENTITY B-MOTION O B-SPATIAL_ENTITY B-SPATIAL_SIGNAL O O B-PLACE B-SPATIAL_SIGNAL B-SPATIAL_ENTITY O B-MOTION O	O O O O O O O B-landmark B-trigger O O B-trajector O
11 11	I biked across sections of Mexico with them , and just ran into them again :	B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL B-PLACE B-SPATIAL_SIGNAL B-PLACE O B-SPATIAL_ENTITY O O O B-MOTION B-MOTION_SIGNAL B-SPATIAL_ENTITY O O	B-mover O O O O O O O O O O B-trigger O O O O
19 19	Lima to Cusco – dirt roads in the Andes Thursday , November 2nd , 2006 Leaving Lima , I biked south along Peru 's desert coast .	O O O O O O O O O O O O O O O B-MOTION B-PLACE O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL B-MOTION_SIGNAL O O O B-PATH O	O O O O O O O O O O O O O O O O O O B-mover B-trigger O O O O O O O
12 12	The worry with this point was whether there is any restricted zone along the border which would prevent a visit .	O O O O B-PLACE O O O O O O B-PATH B-SPATIAL_SIGNAL O B-PATH O O O O B-MOTION O	O O O O O O O O O O O B-trajector B-trigger O B-landmark O O O O O O
13 13	According to one local , the glacier shown on the right used to reach where I am sitting to take the picture .	O O O O O O B-PATH O O O O O O B-MOTION B-SPATIAL_SIGNAL B-SPATIAL_ENTITY O B-NONMOTION_EVENT O O O O O	O O O O O O B-mover O O O O O O B-trigger O O O O O O O O O
12 12	Below are some photos I took from afar ( I did not explorer these areas , as I was told they were not safe ! )	O O O O B-SPATIAL_ENTITY B-NONMOTION_EVENT O B-SPATIAL_SIGNAL O B-SPATIAL_ENTITY O O B-MOTION O B-PLACE O O B-SPATIAL_ENTITY O O B-PLACE O O O O O	O O O O O O O O O B-mover O O B-trigger O O O O O O O O O O O O O
20 20	In 1998 , a huge category 5 hurricane , Hurricane Mitch , tore through the Caribbean and then parked itself over Central America , affecting almost every country .	O O O O O O O B-NONMOTION_EVENT O B-NONMOTION_EVENT I-NONMOTION_EVENT O B-MOTION B-MOTION_SIGNAL O B-PLACE O O B-NONMOTION_EVENT O B-SPATIAL_SIGNAL B-PLACE I-PLACE O O O O O O	O O O O O O O O O O O O O O O O O O B-trajector O B-trigger B-landmark I-landmark O O O O O O
16 16	After many more thousands of feet of climbing and passing an impressive Incan ruin , I arrived in Abancay , where the pavement began again .	O B-MEASURE I-MEASURE I-MEASURE I-MEASURE I-MEASURE O B-MOTION O B-MOTION O O O B-PLACE O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL B-PLACE O B-SPATIAL_SIGNAL O B-SPATIAL_ENTITY B-MOTION O O	O O O O O O O O O O O O O O O B-mover B-trigger O O O O O O O O O
16 16	Heading north , I camped next to the houses of a few more families , and followed long scenic valleys and canyons up and down until reaching the city of Bucaramanga , another of Colombia ’s major cities .	B-MOTION B-MOTION_SIGNAL O B-SPATIAL_ENTITY B-NONMOTION_EVENT B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL O B-PLACE O O O O O O O B-MOTION O O B-PATH O B-PATH B-MOTION_SIGNAL O B-MOTION_SIGNAL O B-MOTION O B-PLACE O B-PLACE O O O O O O O O	O O O B-mover O O O O O O O O O O O O B-trigger O O O O O O O O O O O O O O O O O O O O O O
22 22	Cartagena to Medellin – into the Andes Monday , June 5th , 2006 Leaving Cartagena , I charted a course south , biking through hot lowlands for a few days before climbing into the Andes and the city of Medellin .	O O O O O O O O O O O O O B-MOTION B-PLACE O B-SPATIAL_ENTITY B-MOTION O B-PATH B-MOTION_SIGNAL O B-MOTION B-MOTION_SIGNAL O B-PLACE O O O O O B-MOTION B-MOTION_SIGNAL O B-PATH O O B-PLACE O B-PLACE O	O O O O O O O O O O O O O O O O B-mover O O O O O B-trigger O O O O O O O O O O O O O O O O O O
14 14	I found that yachts , for the same price as a plane ticket , take backpacking travelers between Colombia and Panama .	B-SPATIAL_ENTITY O O B-SPATIAL_ENTITY O O O O O O O O O O B-MOTION O B-SPATIAL_ENTITY B-MOTION_SIGNAL B-PLACE O B-PLACE O	O O O B-mover O O O O O O O O O O B-trigger O B-mover O O O O O
10 11	We left our car on 46 N , 150 m away from the point .	B-SPATIAL_ENTITY O O B-SPATIAL_ENTITY B-SPATIAL_SIGNAL B-PATH I-PATH O B-MEASURE I-MEASURE B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL O B-PLACE O	O O O B-trajector O O O O O O B-trigger I-trigger O B-landmark O
6 6	But , when the floods do come , it is those who are least able to adapt who will suffer the most .	O O O O B-NONMOTION_EVENT O B-MOTION O O O O O O O O O O O O O O O O	O O O O B-mover O B-trigger O O O O O O O O O O O O O O O O
25 25	It was actually the least safe place I have felt yet on this trip , and I asked to camp inside the park instead of at the entrance where most people camp .	O O O O O O O B-SPATIAL_ENTITY O O O O O O O O B-SPATIAL_ENTITY O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PLACE O O B-SPATIAL_SIGNAL O B-PLACE B-SPATIAL_SIGNAL O O B-NONMOTION_EVENT O	O O O O O O O O O O O O O O O O O O O B-trajector O O O O O B-trigger O B-landmark O O O O O
4 4	So , do people bike in Lima ?	O O O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL B-PLACE O	O O O B-mover B-trigger O O O
16 16	Southwestern Baja is a large coastal plain , where a number of crops are grown by pumping water from deep underground .	B-PLACE I-PLACE O O O O B-PLACE O B-SPATIAL_SIGNAL O O O O O B-NONMOTION_EVENT O B-MOTION B-SPATIAL_ENTITY B-MOTION_SIGNAL O B-PLACE O	O O O O O O O O O O O O O O O O B-trigger B-mover O O O O
0 1	South­east of the train station is the Real Fábrica de Ta­pi­ces ( Royal Tapestry Factory , c / Fuenterrabía , 2 ) .	B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL O O B-PLACE O O B-PLACE I-PLACE I-PLACE I-PLACE O B-PLACE I-PLACE I-PLACE O B-PLACE I-PLACE I-PLACE I-PLACE I-PLACE O O	B-trigger I-trigger O O B-landmark O O B-trajector I-trajector I-trajector I-trajector O O O O O O O O O O O O
14 14	Today this land is 300 km far from the Hungarian state border , deeply in the heart of Romania .	O O B-PLACE O B-MEASURE I-MEASURE B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL O O O B-PATH O O B-SPATIAL_SIGNAL O B-PLACE O B-PLACE O	O O B-trajector O O O O O O O O O O O B-trigger O B-landmark O O O
49 49	I have been traveling fast for a few reasons â € “ the end of the school year ( southern hemisphere summer ) means I ca n't give presentations , I have a desire to not be rushed later in the trip , and I made a promise to meet a friend who is flying in to bike with me .	B-SPATIAL_ENTITY O O B-MOTION O O O O O O O O O O O O O O O O O O O O O O O O O O B-SPATIAL_ENTITY O O O O O O O O O O O O O B-SPATIAL_ENTITY O O O O B-MOTION O B-SPATIAL_ENTITY B-SPATIAL_ENTITY O B-MOTION B-MOTION_SIGNAL O B-MOTION O B-SPATIAL_ENTITY O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-mover O O O O B-trigger O O O O O O O O O O O
4 5	In one rural area east of the Cordillera Blanca , I met a man working for the government whose job it is to resolve water disputes .	B-SPATIAL_SIGNAL O O B-PLACE B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL O B-PATH I-PATH O B-SPATIAL_ENTITY B-MOTION O B-SPATIAL_ENTITY O O O O O O O O O O O O O	O O O B-trajector B-trigger I-trigger O B-landmark I-landmark O O O O O O O O O O O O O O O O O O
18 18	Colon is a city where foreigners are regularly held at gun point in the daytime , and I left the marina only to give presentations at a local school as well as the rotary club .	B-PLACE O O B-PLACE B-SPATIAL_SIGNAL O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PLACE O O O O O B-SPATIAL_ENTITY B-MOTION O B-PLACE O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O O B-PLACE O O O O O B-PLACE O	O O O O O O O O O O O O O O O O O B-mover B-trigger O O O O O O O O O O O O O O O O O
9 9	Colon is a city where foreigners are regularly held at gun point in the daytime , and I left the marina only to give presentations at a local school as well as the rotary club .	B-PLACE O O B-PLACE B-SPATIAL_SIGNAL O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PLACE O O O O O B-SPATIAL_ENTITY B-MOTION O B-PLACE O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O O B-PLACE O O O O O B-PLACE O	O O O O O O O O B-trajector B-trigger O B-landmark O O O O O O O O O O O O O O O O O O O O O O O O
25 25	Afterwards , I joined about 10 local kids in a game of soccer ( video center ) , which we played until the ball was kicked over a cliff .	O O B-SPATIAL_ENTITY B-MOTION O O O B-SPATIAL_ENTITY O O O O O O O O O O O O O O O B-SPATIAL_ENTITY O B-MOTION B-SPATIAL_SIGNAL O B-PATH O	O O O O O O O O O O O O O O O O O O O O O O O B-mover O B-trigger O O O O
3 3	On the way to Gelu , the next village , we had to drive over meadows and fields but fortunately there were some farmers we could ask for the right way , which was even harder to drive than the ways before .	B-MOTION_SIGNAL O B-PATH B-SPATIAL_SIGNAL B-PLACE O O O B-PLACE O B-SPATIAL_ENTITY O O B-MOTION B-MOTION_SIGNAL B-PLACE O B-PLACE O O O O O O O O O O O O B-PATH O O O O O O B-MOTION O O B-PATH O O	O O B-trajector B-trigger B-landmark O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
12 12	After a short tracking we realized that there was no path up to the peak except for some animal trails .	O O O B-MOTION B-SPATIAL_ENTITY O O O O O B-PATH B-SPATIAL_SIGNAL B-SPATIAL_SIGNAL O B-PLACE O O O O B-PATH O	O O O O O O O O O O B-trajector O B-trigger O B-landmark O O O O O O
30 30	Monarchs , Deforestation , Poverty , and Climate Change Friday , February 10th , 2006 The butterflies I visited last week congregate in the millions at the tops of mountains in the center of Mexico .	O O O O O O O O O O O O O O O O B-SPATIAL_ENTITY B-SPATIAL_ENTITY B-MOTION O O B-NONMOTION_EVENT O O O B-SPATIAL_SIGNAL O B-PLACE B-SPATIAL_SIGNAL B-PLACE B-SPATIAL_SIGNAL O B-PLACE B-SPATIAL_SIGNAL B-PLACE O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-trajector B-trigger O B-landmark O O O
22 22	All these glaciers that you see in these photos are shrinking , and are all essential for the agriculture that I have biked by here in Chile .	O O B-PATH O O O O O O O B-MOTION O O O O O O O B-NONMOTION_EVENT O B-SPATIAL_ENTITY O B-MOTION B-MOTION_SIGNAL B-PLACE B-SPATIAL_SIGNAL B-PLACE O	O O O O O O O O O O O O O O O O O O O O B-mover O B-trigger O O O O O
4 4	Moving further north you pass through rich farmland and then rolling hills .	B-MOTION O B-MOTION_SIGNAL B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O B-PLACE O O O B-PATH O	O O O B-mover B-trigger O O O O O O O O
13 13	Before starting our trek , we visited the impressing mausoleum at Marasti , at 20 km of Panciu .	O O O B-MOTION O B-SPATIAL_ENTITY B-MOTION O O B-PLACE B-SPATIAL_SIGNAL B-PLACE O B-SPATIAL_SIGNAL B-MEASURE I-MEASURE O B-PLACE O	O O O O O O O O O O O B-trajector O B-trigger O O O O O
4 4	This trail was not through the wilderness – along the sides were coffee plantations , and every few hours we would pass a small village , where we could buy food or camp for the night .	O B-PATH O O B-SPATIAL_SIGNAL O B-PLACE O B-SPATIAL_SIGNAL O B-PATH O O B-PLACE O O O O O B-SPATIAL_ENTITY O B-MOTION O O B-PLACE O B-SPATIAL_SIGNAL B-SPATIAL_ENTITY O B-NONMOTION_EVENT O O B-NONMOTION_EVENT O O O O	O B-trajector O O B-trigger O B-landmark O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
11 11	It will also hurt the tourism industry in Huaraz as people visit these mountains to see the snow capped peaks .	O O O O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL B-PLACE O B-SPATIAL_ENTITY B-MOTION O B-PLACE O O O O O B-PLACE O	O O O O O O O O O O B-mover B-trigger O O O O O O O O O
25 25	The third night out , I stayed with the family of the doctor ’s mother-in-law , who lived in the village of Llano Grande high in the mountains .	O O O O O B-SPATIAL_ENTITY B-NONMOTION_EVENT O O B-SPATIAL_ENTITY O O O O O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PLACE O B-PLACE I-PLACE O B-SPATIAL_SIGNAL O B-PLACE O	O O O O O O O O O O O O O O O O O O O O O O B-trajector I-trajector O B-trigger O B-landmark O
16 16	I crossed the world 's largest salt flat , and biked across the Atacama Desert , crossing sections of the desert by moonlight .	B-SPATIAL_ENTITY B-MOTION O O O O O B-PLACE O O B-MOTION B-MOTION_SIGNAL O B-PLACE I-PLACE O B-MOTION B-PLACE B-SPATIAL_SIGNAL O B-PLACE O O O	B-mover O O O O O O O O O O O O O O O B-trigger O O O O O O O
25 25	Guatemala to Placencia Belize – 6 days , 274 miles Friday , March 17th , 2006 After a night in a small Guatemalan village ( where I ran into a high school friend ) , I crossed into Belize .	O O O O O O O O O O O O O O O O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O O O B-PLACE O B-SPATIAL_SIGNAL B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O O O B-SPATIAL_ENTITY O O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL B-PLACE O	O O O O O O O O O O O O O O O O O O O O O O O B-landmark O B-trigger O B-trajector O O O O O O O O O O O O
19 19	An unforgettable item is La Dama de Elche ( the Lady of Elche ) , a stone sculpture found in Alicante province in 1897 .	O O O O O O O O O O O O O O O O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL B-PLACE I-PLACE O O O	O O O O O O O O O O O O O O O O O O B-trajector B-trigger B-landmark I-landmark O O O
1 1	I crossed the world 's largest salt flat , and biked across the Atacama Desert , crossing sections of the desert by moonlight .	B-SPATIAL_ENTITY B-MOTION O O O O O B-PLACE O O B-MOTION B-MOTION_SIGNAL O B-PLACE I-PLACE O B-MOTION B-PLACE B-SPATIAL_SIGNAL O B-PLACE O O O	B-mover B-trigger O O O O O O O O O O O O O O O O O O O O O O
15 15	Most of these houses were houses of the poor â € “ the 'shantytowns' that rise up the hillsides and line the river banks .	O O O B-SPATIAL_ENTITY O O O O O O O O O O O B-MOTION B-MOTION_SIGNAL O B-PATH O B-SPATIAL_SIGNAL O O B-PATH O	O O O O O O O O O O O O O O O B-trigger O O O O O O O O O
20 20	During warm periods , such as today , the paramo is restricted to the mountaintops , literally islands of grassland in the Andes .	O O O O O O O O O B-PLACE O B-SPATIAL_SIGNAL O O B-PLACE O O B-PLACE O O B-SPATIAL_SIGNAL O B-PATH O	O O O O O O O O O O O O O O O O O B-trajector O O B-trigger O B-landmark O
37 37	Because a dirtroad started right at the monument ( on the right coming from Panciu ) and seemed to head exactly towards the target point ( direction North-North-West ) , we left the car and continued our trip on foot on the Dealu Mare hill .	O O B-PATH B-MOTION O B-MOTION_SIGNAL O B-PLACE O B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL I-SPATIAL_SIGNAL B-MOTION B-MOTION_SIGNAL B-PLACE O O O O B-MOTION O B-MOTION_SIGNAL O O B-PLACE O B-MOTION_SIGNAL I-MOTION_SIGNAL O O B-SPATIAL_ENTITY B-MOTION O B-SPATIAL_ENTITY O O O B-MOTION B-MOTION_SIGNAL I-MOTION_SIGNAL B-MOTION_SIGNAL O B-PLACE I-PLACE I-PLACE O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-mover O O O O O O B-trigger O O O O O O O O
30 30	The next two days , Christmas Eve and Christmas , I rode with two Mexican cyclists , Áaron and Rick , who are professors of electronics at the University ITESM in Cerétaro .	O O O O O O O O O O B-SPATIAL_ENTITY B-MOTION O O O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY O O O O O O O O B-PLACE I-PLACE B-SPATIAL_SIGNAL B-PLACE O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-trajector I-trajector B-trigger B-landmark O
18 18	Guerrero Negro to Loreto â € “ 4 days , 268 miles Monday , December 26th , 2005 Leaving Guerrero Negro early on the 22nd , I biked two days across Baja to the town of Santa Rosalia , an old mining town , which , like the rest of Baja , is full of United Staters .	O O O O O O O O O O O O O O O O O O B-MOTION B-PLACE I-PLACE O O O O O B-SPATIAL_ENTITY B-MOTION O O B-MOTION_SIGNAL B-PLACE B-MOTION_SIGNAL O B-PLACE O B-PLACE I-PLACE O O O O B-PLACE O O O O O O O B-PLACE O O B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL B-SPATIAL_ENTITY I-SPATIAL_ENTITY O	O O O O O O O O O O O O O O O O O O B-trigger O O O O O O O B-mover O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
13 13	In one town , some kids came out and pushed my bike from behind , helping me up a hill .	B-SPATIAL_SIGNAL O B-PLACE O O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O B-NONMOTION_EVENT O B-SPATIAL_ENTITY O B-SPATIAL_SIGNAL O B-MOTION B-SPATIAL_ENTITY B-MOTION_SIGNAL O B-PATH O	O O O O O O O O O B-trajector O B-landmark O B-trigger O O O O O O O
8 8	Quite likely , there will be a tag on the fruit saying 'product of Chile.' Like California , during central Chile 's summer , it does not rain , yet these orchards and vineyards have water because of snowmelt from the mountains .	O O O O O O O B-SPATIAL_ENTITY B-SPATIAL_SIGNAL O B-SPATIAL_ENTITY O O O B-PLACE O B-PLACE O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O B-trajector B-trigger O B-landmark O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
24 24	15-Aug-2003 -- On 15-August-2003 our journey to three confluence-points led us on the E 70 from the point south of Craiova to Strehaia , where we took the road to Targu Jiu .	O O O O O B-MOTION B-MOTION_SIGNAL O B-PLACE B-MOTION B-SPATIAL_ENTITY B-MOTION_SIGNAL O B-PATH I-PATH B-MOTION_SIGNAL O B-PLACE B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL B-PLACE B-MOTION_SIGNAL B-PLACE O B-SPATIAL_SIGNAL B-SPATIAL_ENTITY B-MOTION O B-PATH B-MOTION_SIGNAL B-PLACE I-PLACE O	O O O O O O O O O O O O O O O O O O O O O O B-landmark O B-trigger O B-trajector O O O O O O
4 4	Next time you are in the supermarket in the winter ( if you live in the northern hemisphere ) take a look to see where the fruits come from .	O O B-SPATIAL_ENTITY O B-SPATIAL_SIGNAL O B-PLACE O O O O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PLACE I-PLACE O O O O O O O O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O	O O B-trajector O B-trigger O B-landmark O O O O O O O O O O O O O O O O O O O O O O O
9 9	Turning back towards the coast , Dennis and I biked along the base of the Maya mountains .	B-MOTION B-MOTION_SIGNAL B-MOTION_SIGNAL O B-PATH O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O B-PATH O O B-PATH I-PATH O	O O O O O O B-mover O B-mover B-trigger O O O O O O O O
18 18	According to a recent study ( read a less technical summary here ) , it is likely that in this region of Mexico , there will be more winter rain .	O O O O O O O O O O O O O O O O O O B-SPATIAL_SIGNAL O B-PLACE B-SPATIAL_SIGNAL B-PLACE O O O O O O B-NONMOTION_EVENT O	O O O O O O O O O O O O O O O O O O B-trigger O B-landmark O O O O O O O O B-trajector O
0 0	Returning to Honduras , I spent my first night camped outside of a family ’s house in the countryside .	B-MOTION B-MOTION_SIGNAL B-PLACE O B-SPATIAL_ENTITY B-NONMOTION_EVENT O O O O B-SPATIAL_SIGNAL O O O O B-PLACE B-SPATIAL_SIGNAL O B-PLACE O	B-trigger O O O B-mover O O O O O O O O O O O O O O O
2 2	The storm hit Honduras the hardest .	O B-SPATIAL_ENTITY B-MOTION B-PLACE O O O	O B-mover B-trigger O O O O
9 9	The prolific Rubens is represented by dozens of paintings in the Prado .	O O O O O O O O B-SPATIAL_ENTITY B-SPATIAL_SIGNAL O B-PLACE O	O O O O O O O O B-trajector B-trigger O B-landmark O
2 2	Ten streets converge on the plaza , and all the radial highways of Spain are measured from Puerta del Sol , designated “ Kilometer Zero ” ( on the sidewalk on the south side of the square is a symbol of this distinction ) .	O B-PATH B-MOTION B-SPATIAL_SIGNAL O B-PLACE O O O O O B-PATH O B-PLACE O O O B-PLACE I-PLACE I-PLACE O O O B-PLACE I-PLACE O O B-SPATIAL_SIGNAL O B-PATH B-SPATIAL_SIGNAL O O B-PLACE O O B-PLACE O O B-SPATIAL_ENTITY O O O O O	O B-mover B-trigger O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
8 8	Now the pass is a nice place to bicycle .	O O B-PATH O O O B-PLACE O B-MOTION O	O O O O O O O O B-trigger O
6 6	Nonetheless , Carleton gave me a tour of the city and told me about how he once ran for mayor of Tegucigalpa .	O O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY O B-MOTION O O B-PLACE O O B-SPATIAL_ENTITY O O B-SPATIAL_ENTITY O O O O O B-PLACE O	O O B-mover O B-mover O B-trigger O O O O O O O O O O O O O O O O
4 4	We only had to go 200 metres across a humid meadow until the edge of the field .	B-SPATIAL_ENTITY O O O B-MOTION B-MEASURE I-MEASURE B-MOTION_SIGNAL O O B-PLACE B-MOTION_SIGNAL O B-PATH O O B-PLACE O	B-mover O O O B-trigger O O O O O O O O O O O O O
3 3	2 hours of travel we got the motorcycles to within 530 meters of the confluence point .	O O O B-MOTION B-SPATIAL_ENTITY B-MOTION O B-SPATIAL_ENTITY B-MOTION_SIGNAL B-MEASURE I-MEASURE I-MEASURE O O O B-PLACE O	O O O B-trigger B-mover O O O O O O O O O O O O
4 4	Before leaving , we ran into a group of park rangers who study small deer that live in the park .	O B-MOTION O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O B-SPATIAL_ENTITY O O O O O O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PLACE O	O O O B-mover B-trigger O O O O O O O O O O O O O O O O
3 3	Thousands of Madrileños gather here for a ritual every New Year ’s Eve .	O O B-SPATIAL_ENTITY B-MOTION B-PLACE O O O O O O O O O	O O B-mover B-trigger O O O O O O O O O O
12 12	If it is centuries , as some argue , the oceans could rise much faster than we would like – maybe a foot a decade .	O O O O O O O O O O B-PLACE O B-MOTION O O O O O O O O O O O O O	O O O O O O O O O O B-mover O B-trigger O O O O O O O O O O O O O
5 5	In Tegucigalpa , the flooding reached the third floor of some buildings ( such as the building on the left ) .	B-SPATIAL_SIGNAL B-PLACE O O B-NONMOTION_EVENT B-MOTION O O B-PLACE O O B-PLACE O O O O O O O O O O	O O O O B-mover B-trigger O O O O O O O O O O O O O O O O
16 16	I stayed an extra day in Zacatecas , talked with a school , and then camped atop a building in the center of town , where I encountered my first rain in Mexico .	B-SPATIAL_ENTITY B-NONMOTION_EVENT O O O B-SPATIAL_SIGNAL B-PLACE O O O O B-PLACE O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PLACE B-SPATIAL_SIGNAL O B-PLACE B-SPATIAL_SIGNAL B-PLACE O B-SPATIAL_SIGNAL B-SPATIAL_ENTITY B-MOTION O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL B-PLACE O	O O O O O O O O O O O O O O O B-trajector B-trigger O B-landmark O O O O O O O O O O O O O O O
20 20	The last kilometers before we take the forest road , which leads approximately toward the confluence point , we are driving on the street , because it goes steeply uphill from the valley and is is rather hard to drive in the forest .	O O B-MEASURE O B-SPATIAL_ENTITY B-MOTION O O B-PATH O O B-MOTION O B-MOTION_SIGNAL O O B-PLACE O B-SPATIAL_ENTITY O B-MOTION B-MOTION_SIGNAL O B-PATH O O B-PATH B-MOTION O B-MOTION_SIGNAL B-MOTION_SIGNAL O B-PLACE O O O O O O B-MOTION B-MOTION_SIGNAL O B-PLACE O	O O O O O O O O O O O O O O O O O O B-mover O B-trigger O O O O O O O O O O O O O O O O O O O O O O O
32 32	23-Mar-2002 -- On March 23rd , a rainy and cloudy weather , the team ( Mara Iliescu , Dana Iliescu , Ramona Demean , Marius Iliescu , Mihai Tiepac and Lucky ) drove from Sibiu to Deva .	O O O O O O O O O O O O O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY I-SPATIAL_ENTITY O B-SPATIAL_ENTITY I-SPATIAL_ENTITY O B-SPATIAL_ENTITY I-SPATIAL_ENTITY O B-SPATIAL_ENTITY I-SPATIAL_ENTITY O B-SPATIAL_ENTITY I-SPATIAL_ENTITY O B-SPATIAL_ENTITY O B-MOTION B-MOTION_SIGNAL B-PLACE B-MOTION_SIGNAL B-PLACE O	O O O O O O O O O O O O O B-mover O B-mover I-mover O B-mover I-mover O B-mover I-mover O B-mover I-mover O B-mover I-mover O B-mover O B-trigger O O O O O
9 9	I stayed in deep forest as much as possible on the way to the valley bottom – slithering and sliding down the deep leaf litter .	B-SPATIAL_ENTITY B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PLACE O O O O B-SPATIAL_SIGNAL O B-PATH O O O B-PLACE O B-MOTION O B-MOTION B-MOTION_SIGNAL O O O B-SPATIAL_ENTITY O	O B-trajector O O O O O O O B-trigger O B-landmark O O O O O O O O O O O O O O
5 5	Continuing south , I soon entered Lima , Peru 's capital city and where 9 million people , or one third of Peru 's population , lives .	B-MOTION B-MOTION_SIGNAL O B-SPATIAL_ENTITY O B-MOTION B-PLACE O O O O B-PLACE O B-SPATIAL_SIGNAL O O O O O O O O O O O O B-NONMOTION_EVENT O	O O O B-mover O B-trigger O O O O O O O O O O O O O O O O O O O O O O
3 4	In the area north of Plaza de Colón , you come to a newer section of town , where patrician townhouses in the central area give way to luxurious modern apartment blocks with landscaped balconies .	B-MOTION_SIGNAL O B-PLACE B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL B-PLACE I-PLACE I-PLACE O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O O B-PLACE O B-PLACE O O O B-PLACE B-SPATIAL_SIGNAL O O B-PLACE O O O O O O B-PLACE B-SPATIAL_SIGNAL O B-SPATIAL_ENTITY O	O O B-trajector B-trigger I-trigger B-landmark I-landmark I-landmark O O O O O O O O O O O O O O O O O O O O O O O O O O O O
21 21	19-Apr-2012 -- The conditions of our further trip allowed it to make an excursion into the upstate of Romania and to visit this confluence point at this opportunity .	O O O O O O O O O O O O O B-MOTION B-MOTION_SIGNAL O B-PLACE O B-PLACE O O B-MOTION O O B-PLACE O O O O	O O O O O O O O O O O O O O O O O O O O O B-trigger O O O O O O O
