3 4	Distance from Simeria 17.1 km .	O O B-PLACE B-MEASURE I-MEASURE O	O O B-landmark B-trigger I-trigger O
3 4	We were just 100 m away from the top of the hill , from where I could have taken pictures for a beautiful 360 degree panorama .	B-SPATIAL_ENTITY O O B-MEASURE I-MEASURE B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL O B-PLACE O O B-PLACE O O B-SPATIAL_SIGNAL B-SPATIAL_ENTITY O O B-NONMOTION_EVENT O O O O O O O O	B-trajector O O B-trigger I-trigger O O O B-landmark O O O O O O O O O O O O O O O O O O
7 8	26-Dec-2002 -- This confluence can be found 1,5 km to the west from Icafalâu ( Ikafalva ) in Covasna county , Romania .	O O O B-PLACE O O O B-MEASURE I-MEASURE B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL I-SPATIAL_SIGNAL I-SPATIAL_SIGNAL B-PLACE O B-PLACE O B-SPATIAL_SIGNAL B-PLACE I-PLACE I-PLACE I-PLACE O	O O O B-trajector O O O B-trigger I-trigger O O O O B-landmark O O O O O O O O O
20 20	The castle is 1 km to SW on the other side of the valley , on the top of a 30m high crag .	O B-PLACE O B-MEASURE I-MEASURE B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL B-SPATIAL_SIGNAL O O B-PLACE O O B-PLACE O B-SPATIAL_SIGNAL O B-PLACE O O B-MEASURE O B-PLACE O	O O O O O O O O O O O O O O O O O O O O B-trigger O B-trajector O
23 23	Leaving at 3.30 pm on Friday afternoon I covered 500 km on Fri eve and then after sleeping in the car I arrived near the confluence at around noon .	B-MOTION O O O O O O B-SPATIAL_ENTITY B-MOTION B-MEASURE I-MEASURE O O O O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-SPATIAL_ENTITY B-SPATIAL_ENTITY B-MOTION B-MEASURE O B-PLACE O O O O	O O O O O O O O O O O O O O O O O O O O O O O B-trigger O B-landmark O O O O
26 26	But we decided to keep driving , and after some 20 km from Ciucea , in the village of Bogdana , we turned right , just near the main village church .	O B-SPATIAL_ENTITY O O O B-MOTION O O O O B-MEASURE I-MEASURE O B-PLACE O B-SPATIAL_SIGNAL O B-PLACE O B-PLACE O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O O B-MEASURE O O O B-PLACE O	O O O O O O O O O O O O O O O O O O O O O O B-trajector O O O B-trigger O O O B-landmark O
2 2	I camped near the hamlet of Sălăgeni – just a few metres from the border .	B-SPATIAL_ENTITY B-NONMOTION_EVENT B-MEASURE O B-PLACE O B-PLACE O O O B-MEASURE I-MEASURE O O B-PATH O	O B-trajector B-trigger O B-landmark O O O O O O O O O O O
29 33	At the top the forest becomes lighter , we goe toward it and discover a clearing , grown mainly with large ferns , the confluence point is however still approx . . 100 meters further southwest .	B-SPATIAL_SIGNAL O B-PLACE O B-PLACE O O O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL B-PLACE O B-MOTION O B-PLACE O O O O O B-SPATIAL_ENTITY O O O B-PLACE O O O B-MEASURE I-MEASURE I-MEASURE I-MEASURE I-MEASURE O B-SPATIAL_SIGNAL O	O O O O O O O O O O O O O O O B-landmark O O O O O O O O O B-trajector O O O B-trigger I-trigger I-trigger I-trigger I-trigger O O O
20 20	No time for more points this time – there are two unvisited on the Moldavian border and one more incomplete near the Danube delta .	O O O O B-PLACE O O O O O B-PLACE O B-SPATIAL_SIGNAL O B-PATH I-PATH O B-PLACE O O B-MEASURE O B-PLACE I-PLACE O	O O O O O O O O O O O O O O O O O B-trajector O O B-trigger O B-landmark I-landmark O
6 9	In the preceding years I travelled some thousand offroad kilometers in Romania and therefore we take the most beautiful Enduro paths to the confluence point , naturally there is also something new to discover .	O O O O B-SPATIAL_ENTITY B-MOTION B-MEASURE I-MEASURE I-MEASURE I-MEASURE B-MOTION_SIGNAL B-PLACE O O B-SPATIAL_ENTITY B-MOTION O O O O B-PATH B-MOTION_SIGNAL O O B-PLACE O O O O O O O O O O	O O O O O B-landmark B-trigger I-trigger I-trigger I-trigger O O O O O O O O O O O O O O O O O O O O O O O O O
5 6	We only had to go 200 metres across a humid meadow until the edge of the field .	B-SPATIAL_ENTITY O O O B-MOTION B-MEASURE I-MEASURE B-MOTION_SIGNAL O O B-PLACE B-MOTION_SIGNAL O B-PATH O O B-PLACE O	O O O O B-landmark B-trigger I-trigger O O O O O O O O O O O
20 22	We managed to find a very bad road , full of tractor trails and went by car till we were aproximately 800 m away from the point .	B-SPATIAL_ENTITY O O O O O O B-PATH O B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL O B-PATH O B-MOTION B-MOTION_SIGNAL I-MOTION_SIGNAL O B-SPATIAL_ENTITY O B-MEASURE I-MEASURE I-MEASURE B-SPATIAL_SIGNAL O O B-PLACE O	O O O O O O O O O O O O O O O O O O B-trajector O B-trigger I-trigger I-trigger O O O B-landmark O
44 45	Last Friday a colleague asked me if I was going away for the weekend – I said I had not planned anything – but it set me thinking and I quickly resolved to have a go at the nearest incomplete point to Kosovo – 570 km as the crow flies – 850 by via-Michelin – in Romania .	O O O O O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY O B-MOTION B-MOTION_SIGNAL O O O O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY O O O O O O O O B-SPATIAL_ENTITY O O B-SPATIAL_ENTITY O O O O O B-MOTION B-MOTION_SIGNAL O O O B-PLACE O B-PLACE O B-MEASURE I-MEASURE O O O O O B-MEASURE O O O B-SPATIAL_SIGNAL B-PLACE O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-trajector O B-landmark O B-trigger I-trigger O O O O O O O O O O O O
9 10	Leaving at 3.30 pm on Friday afternoon I covered 500 km on Fri eve and then after sleeping in the car I arrived near the confluence at around noon .	B-MOTION O O O O O O B-SPATIAL_ENTITY B-MOTION B-MEASURE I-MEASURE O O O O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-SPATIAL_ENTITY B-SPATIAL_ENTITY B-MOTION B-MEASURE O B-PLACE O O O O	O O O O O O O O B-landmark B-trigger I-trigger O O O O O O O O O O O O O O O O O O O
5 6	There is a herdsmen station not far from the point , but only the dogs came to visit us .	O O O O B-PLACE B-MEASURE I-MEASURE O O B-PLACE O O O O B-SPATIAL_ENTITY B-MOTION O O B-SPATIAL_ENTITY O	O O O O B-trajector B-trigger I-trigger O O B-landmark O O O O O O O O O O
20 20	All around us we could see only forested heights , except for some houses from Bogdana and the farming fields around the village .	O B-SPATIAL_SIGNAL B-SPATIAL_ENTITY B-SPATIAL_ENTITY O O O O B-PLACE O O O O B-SPATIAL_ENTITY O B-PLACE O O O B-PLACE B-MEASURE O B-PLACE O	O O O O O O O O O O O O O O O O O O O B-trajector B-trigger O B-landmark O
